الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
135 روضه الرحمن,31.2372392,32.2655891,أخرى,"135 روضه الرحمن is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1179,
127 مكه المكرمه,31.2375733,32.265199,أخرى,"127 مكه المكرمه is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1180,
sometimes flamingos in winter,31.2211658,32.3162646,أخرى,"sometimes flamingos in winter is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1181,
جبال من الملح,31.2345507,32.3222996,أخرى,"جبال من الملح is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1182,
Ferdinand’s old house (abandoned),31.266757,32.3100874,أخرى,"Ferdinand’s old house (abandoned) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1183,
Port Said cultural centre/coworking,31.2665747,32.3098859,أخرى,"Port Said cultural centre/coworking is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1184,
عماره نجيب محفوظ,31.262253,32.2724237,أخرى,"عماره نجيب محفوظ is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1185,
برج الرسول,31.2672698,32.2859461,أخرى,"برج الرسول is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1186,
برج الفيروز 9,31.2639301,32.2784563,أخرى,"برج الفيروز 9 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1187,
برج الهدي 5,31.2635059,32.279995,أخرى,"برج الهدي 5 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1188,
برج هدي 6,31.2639582,32.278138,أخرى,"برج هدي 6 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1189,
برج الزهره,31.266421,32.2883788,أخرى,"برج الزهره is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1190,
برج طيبه 8,31.2642002,32.2785235,أخرى,"برج طيبه 8 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1191,
برج تبارك 3,31.2646441,32.2843791,أخرى,"برج تبارك 3 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1192,
برج الفيروز 4,31.263073,32.284076,أخرى,"برج الفيروز 4 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1193,
عماره 13,31.2496866,32.2708053,أخرى,"عماره 13 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1194,
برج داليا,31.2658898,32.2882931,أخرى,"برج داليا is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1195,
اجيال. 2/3,31.2661778,32.2884782,أخرى,"اجيال. 2/3 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1196,
برج ساره,31.2660866,32.2880386,أخرى,"برج ساره is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1197,
برج الرضوي,31.2662462,32.288104,أخرى,"برج الرضوي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1198,
ابراج محمد علي,31.2663263,32.2868091,أخرى,"ابراج محمد علي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1199,
عمارة المتنبي,31.2599334,32.2743555,أخرى,"عمارة المتنبي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1200,
Green Sudr Resort,29.4524985,32.7524236,إقامة,"Green Sudr Resort is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1201,
Sinai Star Resort,29.4453913,32.7563174,إقامة,"Sinai Star Resort is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1202,
Palmera Beach Resort,29.7589703,32.4125865,إقامة,"Palmera Beach Resort is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1203,
فندق بورتو سخنة,29.4443411,32.4805598,إقامة,"فندق بورتو سخنة is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1204,
Temar Cruse,29.7139622,32.7028133,إقامة,"Temar Cruse is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1205,
Mousa Limited K8601/11,29.8325645,32.6302787,أخرى,"Mousa Limited K8601/11 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1206,
راس سدر,29.5123739,32.7247917,إقامة,"راس سدر is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1207,
Mousa Ltd.,29.8325573,32.6295495,أخرى,"Mousa Ltd. is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1208,
جولدن بيتش 2,29.7049769,32.7050841,أخرى,"جولدن بيتش 2 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1209,
Island Beach,29.4579384,32.7512716,أخرى,"Island Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1210,
مدينة الجلالة الجديدة,29.4652758,32.4244169,أخرى,"مدينة الجلالة الجديدة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1211,
مدينة الجلالة الجديدة,29.4741894,32.4355362,أخرى,"مدينة الجلالة الجديدة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1212,
بوابة عيون موسي,29.8329862,32.6698529,أخرى,"بوابة عيون موسي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1213,
Jura El Galala,29.4698448,32.4553891,إقامة,"Jura El Galala is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1214,
آدامز هوم أسوان,24.1692307,32.8661413,إقامة,"آدامز هوم أسوان is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1215,
إزيس بيراميزا كورنيش,24.0922884,32.8953416,إقامة,"إزيس بيراميزا كورنيش is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1216,
فصر ثقافة أسوان,24.0940278,32.8971871,أخرى,"فصر ثقافة أسوان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1217,
فندق أبوسمبل,24.0974519,32.8985861,إقامة,"فندق أبوسمبل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1218,
قبر آغا خان,24.0882795,32.8788351,أخرى,"قبر آغا خان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1219,
بسمة,24.0779051,32.8871799,إقامة,"بسمة is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1220,
The monument of Friendship between Egypt and Soviet Union,23.9708504,32.8670191,أخرى,"The monument of Friendship between Egypt and Soviet Union is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1221,
Mövenpick Resort Aswan,24.0932938,32.8915243,إقامة,"Mövenpick Resort Aswan is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1222,
مقياس النيل,24.0253901,32.8836651,أخرى,"مقياس النيل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1223,
Outer Court,24.0250902,32.8838357,أخرى,"Outer Court is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1224,
Forecourt,24.025471,32.8840246,أخرى,"Forecourt is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1225,
Chapel of Mandulis,24.0247857,32.8839572,أخرى,"Chapel of Mandulis is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1226,
Temple of Asclepius,24.0250879,32.8840063,أخرى,"Temple of Asclepius is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",1227,
Birth-house,24.0254935,32.883896,أخرى,"Birth-house is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1228,
فندق أناكاتو,24.0636604,32.8644811,إقامة,"فندق أناكاتو is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1229,
Bet el Kerem,24.1060732,32.8916468,إقامة,"Bet el Kerem is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1230,
Noorhan Hotel,24.0976551,32.9009216,إقامة,"Noorhan Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1231,
Tolip Hotel Aswan,24.1095182,32.90132,إقامة,"Tolip Hotel Aswan is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1232,
Philae Hotel,24.0890859,32.894454,إقامة,"Philae Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1233,
Memnon Hotel,24.0893209,32.8946542,إقامة,"Memnon Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1234,
فيلة,24.0209719,32.8896278,أخرى,"فيلة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1235,
Nile Museum,24.0408009,32.8839688,ثقافي,"The Nile Museum in Aswan is dedicated to the history, ecology, and culture of the Nile River, the lifeblood of Egyptian civilization. The museum explores the Nile's significance from ancient times to the present, including its hydrology, the peoples who depend on it, and the impact of the Aswan High Dam on Egyptian society and geography.",1236,50.0
Yaseen hotel,24.0971593,32.9016689,إقامة,"Yaseen hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1237,
Famine Stela,24.0577562,32.8721805,أخرى,"Famine Stela is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1238,
Radio Station,24.0823461,32.8914414,أخرى,"Radio Station is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1239,
Yassin Hotel,24.0979256,32.9017129,إقامة,"Yassin Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1240,
Tiba Hotel Aswan,24.1047611,32.9033165,إقامة,"Tiba Hotel Aswan is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1241,
Marhaba Hotel,24.0994863,32.8999734,إقامة,"Marhaba Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1242,
Paradise Hotel,24.0984072,32.9016271,إقامة,"Paradise Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1243,
Theatre Fauzi Fauzi,24.1131659,32.8996358,أخرى,"Theatre Fauzi Fauzi is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1244,
Hathor Hotel,24.0918133,32.8960571,إقامة,"Hathor Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1245,
El-Amin Guest House,24.0893059,32.8903859,أخرى,"El-Amin Guest House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1246,
Sharia as-Souq,24.0978441,32.9011722,أخرى,"Sharia as-Souq is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1247,
Al Amin Budget Hotel,24.0980497,32.9007089,إقامة,"Al Amin Budget Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1248,
Noorhan Hotel,24.098207,32.901672,إقامة,"Noorhan Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1249,
Mango Guesthouse,24.0897737,32.8890371,أخرى,"Mango Guesthouse is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1250,
Movenpick Tower Elefantina,24.096126,32.8928868,إقامة,"Movenpick Tower Elefantina is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1251,
Hapi Hotel,24.092824,32.8967911,إقامة,"Hapi Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1252,
Swimming Beach,24.064429,32.864834,أخرى,"Swimming Beach is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1253,
Taharka Nubian House,24.092531,32.8900466,أخرى,"Taharka Nubian House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1254,
El-Salam Hotel,24.0916779,32.8959837,إقامة,"El-Salam Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1255,
Baba Dool,24.0928438,32.8900781,أخرى,"Baba Dool is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1256,
Nubian Village,24.061572,32.8642968,أخرى,"Nubian Village is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1257,
Nubian Paradise Guest House,24.0901989,32.8908789,أخرى,"Nubian Paradise Guest House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1258,
Oscar hôtel,24.0843798,32.8937448,إقامة,"Oscar hôtel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1259,
Hisn al-Bab,24.0118265,32.890506,تاريخي,Hisn al-Bab is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1260,
Aduba guest house,24.0907619,32.8914613,أخرى,"Aduba guest house is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1261,
Radwan hotel,24.0963188,32.8995024,إقامة,"Radwan hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1262,
Elefantina Sobek,24.091591,32.8901832,أخرى,"Elefantina Sobek is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1263,
Camel Riding Station,24.0896787,32.8802837,أخرى,"Camel Riding Station is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1264,
Shellaly Ka,24.0655932,32.8709586,أخرى,"Shellaly Ka is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1265,
Masha Mman,24.0494477,32.8595841,أخرى,"Masha Mman is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1266,
Aladeen’s Nile Felucca Ride,24.0847416,32.8899501,أخرى,"Aladeen’s Nile Felucca Ride is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1267,
Kafana Guest House Nile View,24.0890581,32.8856693,أخرى,"Kafana Guest House Nile View is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1268,
Old Nubian Guest House Philae & Restaurant,24.0315912,32.8847615,أخرى,"Old Nubian Guest House Philae & Restaurant is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1269,
NUBA one,24.091516,32.8894762,أخرى,"NUBA one is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1270,
Nubian Village,24.0811994,32.8785457,أخرى,"Nubian Village is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1271,
Heissa Camp,24.0106182,32.8811026,إقامة,"Heissa Camp is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1272,
Eka Dolli Elephantine,24.0898528,32.889666,إقامة,"Eka Dolli Elephantine is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1273,
مجدي يعقوب,24.0853762,32.8913168,ثقافي,"مجدي يعقوب is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1274,
Nubian Queen,24.0906798,32.8908668,أخرى,"Nubian Queen is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1275,
Aswan Nile Palace,24.072944,32.8807212,إقامة,"Aswan Nile Palace is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1276,
David Hostel,24.0621434,32.8892197,إقامة,"David Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1277,
David Hostel,24.0620848,32.8892117,إقامة,"David Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1278,
Old Nubian house with a crocodile,24.1080572,32.890877,أخرى,"Old Nubian house with a crocodile is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1279,
Old Nubian house with henna tattooing,24.1078461,32.8905762,أخرى,"Old Nubian house with henna tattooing is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1280,
"Nubian house, restaurant and massage",24.0863602,32.8870829,أخرى,"Nubian house, restaurant and massage is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1281,
Bob Marley Guest house and restaurant,24.0924675,32.8910305,أخرى,"Bob Marley Guest house and restaurant is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1282,
Bob Marley Guest house and restaurant a,24.0906799,32.8911583,أخرى,"Bob Marley Guest house and restaurant a is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1283,
Bayt Zaina -Nubian hospitality guest house,24.0887835,32.8857646,إقامة,"Bayt Zaina -Nubian hospitality guest house is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1284,
Obelisk - Nile,24.0923773,32.8953468,إقامة,"Obelisk - Nile is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1285,
Nubian Village,24.0614079,32.8641923,أخرى,"Nubian Village is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1286,
Oscar Hotel,24.0928863,32.9007156,إقامة,"Oscar Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1287,
Habibi Nibian Guesthouse,24.1077078,32.8912962,أخرى,"Habibi Nibian Guesthouse is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1288,
Heart Nubia Guesthouse,24.1082086,32.8909302,أخرى,"Heart Nubia Guesthouse is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1289,
Qh36 Tomb of sirenput I,24.1035641,32.8899211,تاريخي,Qh36 Tomb of sirenput I is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1290,
35d,24.1029314,32.8901556,تاريخي,35d is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1291,
hieroglyphs,24.0801552,32.8853208,تاريخي,hieroglyphs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1292,
Late Khnum Temple Main Entrance,24.0840335,32.8866393,تاريخي,Late Khnum Temple Main Entrance is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1293,
Gateway of Amenhotep II,24.084089,32.8858671,تاريخي,Gateway of Amenhotep II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1294,
Satet Temple of Sesostris I,24.0850932,32.8865532,تاريخي,Satet Temple of Sesostris I is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1295,
Barque Sanctuary of Sesostris I,24.0853083,32.8866051,تاريخي,Barque Sanctuary of Sesostris I is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1296,
Satet Temple of Monthuhotep II,24.0852787,32.8863987,تاريخي,Satet Temple of Monthuhotep II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1297,
hieroglyphs,24.0794338,32.8958921,تاريخي,hieroglyphs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1298,
hieroglyphs,24.0580971,32.8732161,تاريخي,hieroglyphs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1299,
hieroglyphs,24.0573918,32.8743252,تاريخي,hieroglyphs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1300,
hieroglyphs,24.0573085,32.8736962,تاريخي,hieroglyphs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1301,
Nile Valley Viewpoint,24.0656751,32.8634693,أخرى,"Nile Valley Viewpoint is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1302,
خلاص النفوس اسوان,24.0949336,32.900657,أخرى,"خلاص النفوس اسوان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1303,
الجيرمانية اسوان,24.0859133,32.8921683,أخرى,"الجيرمانية اسوان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1304,
Nile Bride Guesthouse,24.0895121,32.8864558,أخرى,"Nile Bride Guesthouse is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1305,
Nubian Palace,24.0625731,32.8638687,أخرى,"Nubian Palace is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1306,
Maghrabi's Guest House,24.1090199,32.8923072,أخرى,"Maghrabi's Guest House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1307,
Qh35h,24.1030645,32.8901587,تاريخي,Qh35h is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1308,
Qh35i,24.1031078,32.8901933,تاريخي,Qh35i is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1309,
Qh35e,24.1029779,32.8901689,تاريخي,Qh35e is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1310,
Qh35a,24.1028278,32.890319,تاريخي,Qh35a is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1311,
Qh35n,24.1034126,32.8901772,تاريخي,Qh35n is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1312,
Qh35l,24.1032347,32.8902588,تاريخي,Qh35l is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1313,
Qh35o,24.1034296,32.8901576,تاريخي,Qh35o is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1314,
Tomb of mwkho & sabni,24.1009908,32.8893599,تاريخي,Tomb of mwkho & sabni is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1315,
Qh35c,24.1029303,32.8902782,تاريخي,Qh35c is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1316,
Qh26a,24.1011689,32.8896875,تاريخي,Qh26a is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1317,
Qh35f,24.1029822,32.8901532,تاريخي,Qh35f is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1318,
Qh35b,24.1028951,32.8902793,تاريخي,Qh35b is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1319,
Qh35m,24.1033519,32.8902026,تاريخي,Qh35m is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1320,
Kato Dool Wellness Resort,24.0718541,32.8642742,إقامة,"Kato Dool Wellness Resort is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",1321,
Sunset,24.0872998,32.8849402,أخرى,"Sunset is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1322,
Palm,24.0872876,32.884823,أخرى,"Palm is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1323,
Labib,24.0877072,32.8850461,أخرى,"Labib is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1324,
Basmatic Nubian,24.0873703,32.8849958,أخرى,"Basmatic Nubian is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1325,
Nubian Life Nile View Seko Kato,24.0871615,32.8848381,أخرى,"Nubian Life Nile View Seko Kato is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1326,
Samara,24.0895255,32.8872073,أخرى,"Samara is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1327,
Nubian Lotus,24.0902895,32.88815,أخرى,"Nubian Lotus is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1328,
La Veranda,24.0925536,32.8900707,أخرى,"La Veranda is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1329,
Ibiza,24.0926662,32.8899206,أخرى,"Ibiza is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1330,
Andy Nubian,24.0865597,32.8867955,أخرى,"Andy Nubian is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1331,
Om Abdallah,24.0865415,32.8864003,أخرى,"Om Abdallah is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1332,
Nubia Soul,24.0870963,32.8858157,أخرى,"Nubia Soul is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1333,
Abazido,24.0902626,32.8880463,أخرى,"Abazido is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1334,
Kosh Royal,24.0920937,32.8903352,أخرى,"Kosh Royal is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1335,
Nuba Tod,24.0908506,32.8914464,أخرى,"Nuba Tod is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1336,
Safi,24.0902415,32.8907746,أخرى,"Safi is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1337,
Regan,24.0905268,32.8885918,أخرى,"Regan is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1338,
Otasho,24.0926435,32.889927,أخرى,"Otasho is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1339,
El Prince,24.0903187,32.8884443,أخرى,"El Prince is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1340,
Hamo House,24.0915641,32.8888009,أخرى,"Hamo House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1341,
Nobatia,24.0925957,32.8899969,أخرى,"Nobatia is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1342,
Roma,24.0907607,32.891207,أخرى,"Roma is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1343,
Merit,24.0872626,32.8855609,أخرى,"Merit is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1344,
Jameica,24.0896368,32.8906244,أخرى,"Jameica is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1345,
